species_common_name,species_encoded,year,population,population_rolling_avg,population_rolling_std,population_cv,population_change_rate,population_relative_to_peak,population_relative_to_baseline,cumulative_change_rate,is_declining,is_growing,overall_trend_encoded,iucn_status_numeric,taxonomic_group_encoded,region_encoded,years_since_baseline,conservation_urgency,risk_level,risk_level_encoded,taxon_Aquatic Mammal,taxon_Bird,taxon_Mammal,taxon_Marine Mammal,taxon_Reptile,region_encoded,region_Africa,region_China,region_Global Oceans,region_India,region_North America,region_Usa,species_pop_mean,species_pop_std,species_pop_min,species_pop_max,species_change_mean,species_change_std,species_decline_years
African Elephant,0,2006,477600,483200.0,5600.000000000213,0.011589403973510371,-1.1589403973509937,0.36738461538461537,0.36738461538461537,-97.00019672211774,1,0,2.0,3,2,0,27,3.03476821192053,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,2007,472000,477600.0,5600.000000000213,0.011725293132328752,-1.1725293132328285,0.3630769230769231,0.3630769230769231,-98.17272603535056,1,0,2.0,3,2,0,28,3.035175879396985,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,2008,454896,468165.3333333333,11827.781082406604,0.025264111287764297,-3.6237288135593237,0.34992,0.34992,-101.79645484890989,1,0,2.0,3,2,0,29,3.1087118644067795,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,2009,437792,454896.0,17104.00000000006,0.03759980303190191,-3.75998030319018,0.33676307692307694,0.33676307692307694,-105.55643515210006,1,0,2.0,3,2,0,30,3.1127994090957056,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,2010,420688,437792.0,17104.00000000006,0.0390687815218187,-3.9068781521818585,0.3236061538461538,0.3236061538461538,-109.46331330428193,1,0,2.0,3,2,0,31,3.117206344565456,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,2011,403583,420687.6666666667,17104.500002436074,0.04065842989399753,-4.065958620165066,0.31044846153846156,0.31044846153846156,-113.52927192444699,1,0,2.0,3,2,0,32,3.1219787586049517,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,2012,386479,403583.3333333333,17104.500002436074,0.042381581670293794,-4.2380377766159665,0.29729153846153844,0.29729153846153844,-117.76730970106296,1,0,2.0,3,2,0,33,3.1271411332984793,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,2013,369375,386479.0,17104.00000000006,0.044255962160945496,-4.42559621609454,0.2841346153846154,0.2841346153846154,-122.1929059171575,1,0,2.0,3,2,0,34,3.132767886482836,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,2014,352271,369375.0,17104.00000000006,0.046305245346869854,-4.630524534686975,0.2709776923076923,0.2709776923076923,-126.82343045184447,1,0,2.0,3,2,0,35,3.1389157360406093,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,2015,383636,368427.3333333333,15703.960020750676,0.04262430769907771,8.903656559864427,0.2951046153846154,0.2951046153846154,-117.91977389198004,0,1,2.0,3,2,0,36,3.2671096967959325,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,2016,415000,383635.6666666667,31364.500001328495,0.08175595422044131,8.175457986216106,0.3192307692307692,0.3192307692307692,-109.74431590576394,0,1,2.0,3,2,0,37,3.245263739586483,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,2017,415000,404545.3333333333,18108.013842863467,0.044761395944575136,0.0,0.3192307692307692,0.3192307692307692,-109.74431590576394,0,0,2.0,3,2,0,38,3.0,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,2018,415000,415000.0,0.0,0.0,0.0,0.3192307692307692,0.3192307692307692,-109.74431590576394,0,0,2.0,3,2,0,39,3.0,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,2019,415000,415000.0,0.0,0.0,0.0,0.3192307692307692,0.3192307692307692,-109.74431590576394,0,0,2.0,3,2,0,40,3.0,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,2020,415000,415000.0,0.0,0.0,0.0,0.3192307692307692,0.3192307692307692,-109.74431590576394,0,0,2.0,3,2,0,41,3.0,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,2021,415000,415000.0,0.0,0.0,0.0,0.3192307692307692,0.3192307692307692,-109.74431590576394,0,0,2.0,3,2,0,42,3.0,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
African Elephant,0,2022,415000,415000.0,0.0,0.0,0.0,0.3192307692307692,0.3192307692307692,-109.74431590576394,0,0,2.0,3,2,0,43,3.0,Medium,1,False,False,True,False,False,0,True,False,False,False,False,False,598220.9090909091,244725.47990852248,352271,1300000,-2.494188997858272,3.6942850018582982,35
Asian Elephant,1,1993,23966,23966.0,0.0,0.0,0.0,0.8154196862985268,1.0,0.0,0,0,1.0,3,2,3,0,3.0,High,2,False,False,True,False,False,3,False,False,False,True,False,False,26428.066666666666,1864.1521125837803,22446,29391,-0.20019045955761947,1.9138170240912753,10
Asian Elephant,1,1994,24188,24077.0,156.97770542341354,0.006519819970237692,0.9263122757239506,0.8229730189513796,1.0092631227572395,0.9263122757239506,0,1,1.0,3,2,3,1,3.0277893682717183,High,2,False,False,True,False,False,3,False,False,False,True,False,False,26428.066666666666,1864.1521125837803,22446,29391,-0.20019045955761947,1.9138170240912753,10
Asian Elephant,1,1995,24410,24188.0,222.0,0.009178104845377837,0.9178104845377844,0.8305263516042326,1.0185262455144788,1.844122760261735,0,1,1.0,3,2,3,2,3.0275343145361333,High,2,False,False,True,False,False,3,False,False,False,True,False,False,26428.066666666666,1864.1521125837803,22446,29391,-0.20019045955761947,1.9138170240912753,10
Asian Elephant,1,1996,24631,24409.666666666668,221.5001881112816,0.009074281559680483,0.9053666530110638,0.8380456602361267,1.0277476424935326,2.7494894132727987,0,1,1.0,3,2,3,3,3.0271609995903317,High,2,False,False,True,False,False,3,False,False,False,True,False,False,26428.066666666666,1864.1521125837803,22446,29391,-0.20019045955761947,1.9138170240912753,10
Asian Elephant,1,1997,24853,24631.333333333332,221.5001881112816,0.00899261867450459,0.9013032357598094,0.8455989928889797,1.0370107652507718,3.650792649032608,0,1,1.0,3,2,3,4,3.0270390970727945,High,2,False,False,True,False,False,3,False,False,False,True,False,False,26428.066666666666,1864.1521125837803,22446,29391,-0.20019045955761947,1.9138170240912753,10
Asian Elephant,1,1998,25160,24881.333333333332,265.6357154701408,0.01067610452829992,1.235263348489113,0.8560443673233302,1.0498205791538011,4.886055997521721,0,1,1.0,3,2,3,5,3.0370579004546734,High,2,False,False,True,False,False,3,False,False,False,True,False,False,26428.066666666666,1864.1521125837803,22446,29391,-0.20019045955761947,1.9138170240912753,10
Asian Elephant,1,1999,25468,25160.333333333332,307.5001355013264,0.012221624071010925,1.2241653418123999,0.8665237657786398,1.0626721188350163,6.110221339334121,0,1,1.0,3,2,3,6,3.036724960254372,High,2,False,False,True,False,False,3,False,False,False,True,False,False,26428.066666666666,1864.1521125837803,22446,29391,-0.20019045955761947,1.9138170240912753,10
Asian Elephant,1,2000,25775,25467.666666666668,307.5001355013264,0.012074138535188088,1.2054342704570509,0.8769691402129903,1.0754819327380456,7.315655609791172,0,1,1.0,3,2,3,7,3.0361630281137115,High,2,False,False,True,False,False,3,False,False,False,True,False,False,26428.066666666666,1864.1521125837803,22446,29391,-0.20019045955761947,1.9138170240912753,10
Asian Elephant,1,2001,26083,25775.333333333332,307.5001355013264,0.011930015861469308,1.1949563530552876,0.8874485386682999,1.0883334724192606,8.51061196284646,0,1,1.0,3,2,3,8,3.0358486905916586,High,2,False,False,True,False,False,3,False,False,False,True,False,False,26428.066666666666,1864.1521125837803,22446,29391,-0.20019045955761947,1.9138170240912753,10
Asian Elephant,1,2002,26390,26082.666666666668,307.5001355013264,0.011789443902770367,1.1770118467967716,0.8978939131026504,1.1011432863222899,9.687623809643231,0,1,1.0,3,2,3,9,3.035310355403903,High,2,False,False,True,False,False,3,False,False,False,True,False,False,26428.066666666666,1864.1521125837803,22446,29391,-0.20019045955761947,1.9138170240912753,10
Asian Elephant,1,2003,26643,26372.0,280.4335928522125,0.010633762811019697,0.958696475937848,0.906501990405226,1.111699908203288,10.64632028558108,0,1,1.0,3,2,3,10,3.028760894278135,High,2,False,False,True,False,False,3,False,False,False,True,False,False,26428.066666666666,1864.1521125837803,22446,29391,-0.20019045955761947,1.9138170240912753,10
